Feature Set,Model,CV R2 Mean,CV R2 Std,Test MAE,Test RMSE,Test R2
Full Features,Gradient Boosting,-0.10047453720200397,0.5709805075107711,4595.442165389876,5441.4054553045635,0.5997018126331979
Historical Features,Linear Regression,-0.01610869866504061,0.7915054312495291,4303.225210618454,5448.082337667017,0.5987188372877477
Historical Features,Ridge Regression,0.2316946771171196,0.33576918983949233,4303.837354107086,5450.735832058782,0.5983278532481873
Core Features,Gradient Boosting,-0.19696973707125826,0.5250206031305642,4625.234325471636,5476.804154633265,0.5944766455687895
Full Features,Ridge Regression,0.16642257825261914,0.3223249101793857,4524.23763147526,5501.542953018445,0.5908048625638984
Full Features,Linear Regression,-0.19996139619229622,0.9143261923005612,4544.834584476017,5517.1621055906735,0.5884781138972293
Core Features,Linear Regression,0.07557029498436758,0.7219635189643209,4402.7802775076225,5611.046426217453,0.5743533963676555
Core Features,Ridge Regression,0.29378513768537134,0.3188162324265883,4403.381466623329,5613.030591287367,0.5740523108362454
Historical Features,Random Forest,0.024100466067002956,0.4994705558213508,4878.387116666652,5834.465587934003,0.5397819864431563
Historical Features,Hist Gradient Boosting,-0.24930393050640057,0.24451412058388006,4947.882267878219,5938.880155085271,0.5231623148209303
Historical Features,Gradient Boosting,-0.18782935808593326,0.517883268585896,4975.049398251629,5965.103147509624,0.5189420859259153
Core Features,Random Forest,-0.01928382116722529,0.5476537897462619,5045.132745833384,6004.935276730955,0.5124960827543488
Full Features,Random Forest,0.11860513890621123,0.3685019346172982,5088.973310416686,6061.43347141403,0.5032794430130372
Historical Features,Extra Trees,-0.04257929202388522,0.36973411619235697,5149.667629861144,6119.863002242272,0.49365695540221943
Core Features,Extra Trees,-0.07776181415265357,0.47837449799952936,5243.317908333359,6131.153915723003,0.49178686471587696
Full Features,Extra Trees,0.08466110882602691,0.3421166560150446,5239.53235833335,6210.162366455383,0.4786044042812123
Core Features,Hist Gradient Boosting,-0.27956010272581827,0.3536262642702987,5492.268585464753,6584.156701814954,0.41391343631277877
Full Features,Hist Gradient Boosting,-0.3061651321057991,0.30194125349357803,5487.494595188038,6631.9749438544495,0.40536947230665865
